"Wells","values","conc","rep_tec","experiment","PositionScore"
"D07",17.9775280898876,"15.6",4,"EXP_2","1"
"D08",35.1123595505618,"31.25",4,"EXP_2","1"
"D09",33.1460674157303,"62.5",4,"EXP_2","1"
"D10",21.3483146067416,"125",4,"EXP_2","2"
"D11",20.5056179775281,"250",4,"EXP_2","3"
"D12",3.08988764044944,"500",4,"EXP_2","4"
"E01",49.438202247191,"0",5,"EXP_2","4"
"E02",62.3595505617977,"0.485",5,"EXP_2","3"
"E03",55.3370786516854,"0.97",5,"EXP_2","2"
"E04",43.8202247191011,"1.95",5,"EXP_2","1"
"E05",60.9550561797753,"3.9",5,"EXP_2","1"
"E06",40.1685393258427,"7.8",5,"EXP_2","1"
"E07",34.5505617977528,"15.6",5,"EXP_2","1"
"E08",27.2471910112359,"31.25",5,"EXP_2","1"
"E09",21.6292134831461,"62.5",5,"EXP_2","1"
"E10",9.26966292134831,"125",5,"EXP_2","2"
"E11",14.0449438202247,"250",5,"EXP_2","3"
"E12",7.02247191011236,"500",5,"EXP_2","4"
"F01",63.2022471910112,"0",6,"EXP_2","4"
"F02",66.8539325842696,"0.485",6,"EXP_2","3"
"F03",69.6629213483146,"0.97",6,"EXP_2","2"
"F04",52.5280898876404,"1.95",6,"EXP_2","2"
"F05",55.0561797752809,"3.9",6,"EXP_2","2"
"F06",54.7752808988764,"7.8",6,"EXP_2","2"
"F07",39.3258426966292,"15.6",6,"EXP_2","2"
"F08",26.9662921348315,"31.25",6,"EXP_2","2"
"F09",19.6629213483146,"62.5",6,"EXP_2","2"
"F10",12.0786516853933,"125",6,"EXP_2","2"
"F11",11.7977528089888,"250",6,"EXP_2","3"
"F12",7.02247191011236,"500",6,"EXP_2","4"
"G01",65.1685393258427,"0",7,"EXP_2","4"
"G02",61.5168539325843,"0.485",7,"EXP_2","3"
"G03",75.561797752809,"0.97",7,"EXP_2","3"
"G04",75,"1.95",7,"EXP_2","3"
"G05",55.8988764044944,"3.9",7,"EXP_2","3"
"G06",45.7865168539326,"7.8",7,"EXP_2","3"
"G07",42.4157303370787,"15.6",7,"EXP_2","3"
"G08",44.3820224719101,"31.25",7,"EXP_2","3"
"G09",16.8539325842697,"62.5",7,"EXP_2","3"
"G10",13.7640449438202,"125",7,"EXP_2","3"
"G11",9.55056179775281,"250",7,"EXP_2","3"
"G12",1.40449438202247,"500",7,"EXP_2","4"
"H01",61.5168539325843,"0",8,"EXP_2","4"
"H02",57.5842696629214,"0.485",8,"EXP_2","4"
"H03",60.6741573033708,"0.97",8,"EXP_2","4"
"H04",56.7415730337079,"1.95",8,"EXP_2","4"
"H05",65.7303370786517,"3.9",8,"EXP_2","4"
"H06",51.685393258427,"7.8",8,"EXP_2","4"
"H07",43.8202247191011,"15.6",8,"EXP_2","4"
"H08",44.3820224719101,"31.25",8,"EXP_2","4"
"H09",23.5955056179775,"62.5",8,"EXP_2","4"
"H10",16.5730337078652,"125",8,"EXP_2","4"
"H11",11.7977528089888,"250",8,"EXP_2","4"
"H12",7.02247191011236,"500",8,"EXP_2","4"
"A01",68.2584269662921,"0",1,"EXP_3","4"
"A02",92.1348314606741,"0.485",1,"EXP_3","4"
"A03",82.0224719101124,"0.97",1,"EXP_3","4"
"A04",80.6179775280899,"1.95",1,"EXP_3","4"
"A05",59.2696629213483,"3.9",1,"EXP_3","4"
"A06",53.6516853932584,"7.8",1,"EXP_3","4"
"A07",36.2359550561798,"15.6",1,"EXP_3","4"
"A08",35.6741573033708,"31.25",1,"EXP_3","4"
"A09",46.9101123595506,"62.5",1,"EXP_3","4"
"A10",15.7303370786517,"125",1,"EXP_3","4"
"A11",14.6067415730337,"250",1,"EXP_3","4"
"A12",5.0561797752809,"500",1,"EXP_3","4"
"B01",69.3820224719101,"0",2,"EXP_3","4"
"B02",85.1123595505618,"0.485",2,"EXP_3","3"
"B03",76.4044943820225,"0.97",2,"EXP_3","3"
"B04",69.3820224719101,"1.95",2,"EXP_3","3"
"B05",62.6404494382023,"3.9",2,"EXP_3","3"
"B06",65.7303370786517,"7.8",2,"EXP_3","3"
"B07",52.2471910112359,"15.6",2,"EXP_3","3"
"B08",34.5505617977528,"31.25",2,"EXP_3","3"
"B09",30.0561797752809,"62.5",2,"EXP_3","3"
"B10",27.5280898876404,"125",2,"EXP_3","3"
"B11",16.8539325842697,"250",2,"EXP_3","3"
"B12",6.46067415730337,"500",2,"EXP_3","4"
"C01",65.4494382022472,"0",3,"EXP_3","4"
"C02",81.1797752808989,"0.485",3,"EXP_3","3"
"C03",100,"0.97",3,"EXP_3","2"
"C04",75.8426966292135,"1.95",3,"EXP_3","2"
"C05",80.3370786516854,"3.9",3,"EXP_3","2"
"C06",76.4044943820225,"7.8",3,"EXP_3","2"
"C07",51.4044943820225,"15.6",3,"EXP_3","2"
"C08",48.5955056179775,"31.25",3,"EXP_3","2"
"C09",40.7303370786517,"62.5",3,"EXP_3","2"
"C10",23.314606741573,"125",3,"EXP_3","2"
"C11",17.9775280898876,"250",3,"EXP_3","3"
"C12",8.70786516853932,"500",3,"EXP_3","4"
"D01",79.7752808988764,"0",4,"EXP_3","4"
"D02",91.5730337078652,"0.485",4,"EXP_3","3"
"D03",88.2022471910112,"0.97",4,"EXP_3","2"
"D04",80.6179775280899,"1.95",4,"EXP_3","1"
